n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time;mq_swap;mq_comp;mq_time
1100;3297;604450;1289500;294154;294144;406700;30408;18887;130200;20262;11847;62500;16553;11360;63000
1100;3297;604450;1290600;308689;308679;492800;30489;18887;133100;25419;13494;65600;17538;11739;63000
1100;3297;604450;1286700;292255;292249;405600;30513;18895;131400;22575;12347;64700;14289;11271;64000
1100;3297;604450;1286000;301432;301424;417300;30414;18834;130500;20097;11468;64300;14841;11762;67000
1100;3297;604450;1287100;303055;303050;419100;30441;18837;133800;20307;12814;62700;16986;12131;62000
1100;3297;604450;1285900;296088;296075;407000;30396;18795;129700;19218;12268;62500;14842;11864;89700
1100;3297;604450;1293700;303698;303695;418200;30456;18824;128800;20457;13215;64500;14166;11992;68900
1100;3297;604450;1283900;306938;306927;421900;30546;18925;129600;23559;12857;62800;15838;11096;61600
1200;3597;719400;1544500;369756;369747;506300;33654;20853;144600;22572;13921;70700;18260;12316;74300
1200;3597;719400;1569100;340972;340966;469000;33834;20912;164600;23019;15099;69300;18838;13500;68800
1200;3597;719400;1533600;353050;353039;484500;33852;20964;144700;24156;13206;69800;18113;12230;73600
1200;3597;719400;1519800;380694;380685;522200;33588;20856;143900;21684;13732;67300;19313;12552;69700
1200;3597;719400;1526900;367456;367454;528500;33702;20901;145400;22047;13105;67700;16808;12716;75200
1200;3597;719400;1527300;361570;361561;496100;33648;20849;141400;24084;13297;69300;16529;12485;69300
1200;3597;719400;1528800;369741;369732;506400;33609;20879;151900;23166;14144;69700;18815;12779;81300
1200;3597;719400;1530000;367181;367172;504500;33591;20845;144000;21915;13227;69200;19808;12874;69400
1200;3597;719400;1531200;362555;362549;495700;33723;20889;142700;21915;12520;68500;16231;12274;68500
1200;3597;719400;1558100;355662;355653;489000;33756;20916;142700;20019;13000;68300;16831;12364;74100
1300;3897;844350;1953900;424482;424471;580500;36990;22966;235600;24681;15715;76100;18333;13987;103400
1300;3897;844350;1762400;433239;433230;591800;36849;22909;165300;25836;14290;77300;21470;14416;83600
1300;3897;844350;1766800;423193;423186;581500;36951;22895;151900;26211;13821;74900;20976;14223;83700
1300;3897;844350;1765800;429246;429240;587300;37080;22962;151900;26577;14801;75800;19347;13686;81900
1300;3897;844350;1767500;419582;419578;576400;37026;22956;151600;22809;14363;74900;16909;13504;83000
1300;3897;844350;1776200;428883;428878;587500;36897;22913;149800;26223;14267;75300;21482;15713;85400
1300;3897;844350;1761100;420569;420566;587300;37035;22980;150600;21450;14604;74900;18146;13816;81400
1300;3897;844350;1771300;415549;415543;569000;36915;22887;151200;27354;14316;74700;19629;13541;88000
1300;3897;844350;1769100;428033;428027;586800;36849;22904;152200;26505;14956;83400;18028;13483;90400
1300;3897;844350;1791300;414480;414473;566400;37140;23024;151200;24825;15568;73900;20156;13882;83200
1400;4197;979300;2048500;472622;472617;649600;40482;25089;163800;23517;16459;79300;21067;15272;88300
1400;4197;979300;2053000;496147;496142;683800;40029;24945;164400;27255;15637;81800;21151;15201;88300
1400;4197;979300;2050200;488131;488124;666100;40323;25011;166000;24222;15636;78600;18489;15380;85600
1400;4197;979300;2046500;506877;506870;702400;40251;25008;163200;28299;16341;82400;20507;14772;88500
1400;4197;979300;2213900;494548;494543;1135400;40224;25003;238700;25662;15096;112000;19413;14635;126300
1400;4197;979300;2088500;485871;485864;665400;40257;25020;165500;24687;15653;80800;20368;15119;88900
1400;4197;979300;2083600;483617;483609;659800;40365;25076;167800;27684;15606;81400;21922;15062;88600
1400;4197;979300;2084800;495448;495442;678000;40272;25009;163800;26592;15361;78400;21249;15333;89300
1400;4197;979300;2091300;483818;483810;703500;40350;25035;242000;31794;15795;113100;22778;15091;125400
1400;4197;979300;2078700;494466;494455;674400;40284;25009;174200;30465;16463;83800;22136;14751;89900
1500;4497;1124250;2403700;558709;558704;764900;43491;27050;178000;28764;16137;87500;20517;17288;92800
1500;4497;1124250;2403600;567234;567225;777100;43398;27010;176100;35055;19187;89100;26142;17488;97600
1500;4497;1124250;2402200;571125;571117;780900;43599;27126;179100;29736;17783;88700;23991;16357;97900
1500;4497;1124250;2402900;556492;556485;761300;43740;27141;178900;29271;17671;86900;24877;17440;98000
1500;4497;1124250;2431700;556227;556220;776900;43683;27085;183900;29580;18056;93700;24344;16786;96200
1500;4497;1124250;2401000;549101;549094;1062200;43743;27148;206000;29976;18397;90500;22499;16630;94500
1500;4497;1124250;2391000;542214;542208;742100;43698;27108;179300;33084;18030;88500;26858;16850;97800
1500;4497;1124250;2398700;565390;565382;772200;43656;27104;178200;28500;17185;86500;23540;16918;99900
1500;4497;1124250;2387800;583103;583100;803400;43425;27027;176400;28440;17880;85900;24063;16144;96000
1500;4497;1124250;2396300;570710;570707;778200;43674;27165;176800;28668;16783;87500;22687;16352;96000
1600;4797;1279200;2726100;666506;666496;915200;46872;29165;192300;32613;20578;97200;25356;17648;101600
1600;4797;1279200;2738300;634444;634437;884100;47202;29298;192200;33519;19090;94900;27426;18157;102500
1600;4797;1279200;2735700;657777;657768;893700;46875;29201;191900;35073;19007;93300;27756;18078;102200
1600;4797;1279200;2731400;641570;641564;874800;47064;29254;191200;28530;17321;94500;22841;17428;105600
1600;4797;1279200;2757200;627630;627626;857400;47064;29290;191000;30639;17800;93900;23549;17288;102900
1600;4797;1279200;2729500;639440;639430;871000;47064;29318;194600;31398;19466;94000;22038;17830;100400
1600;4797;1279200;2727000;635824;635820;866800;46968;29202;188600;30204;17337;93700;22262;17608;102100
1600;4797;1279200;2734000;642409;642406;874800;46941;29165;188800;36237;20099;95700;23084;17282;101500
1600;4797;1279200;2711400;630794;630790;858300;47076;29280;189800;37377;20034;94900;24659;17913;103300
1600;4797;1279200;2723000;645138;645132;877600;47064;29241;191400;30807;18409;92200;22971;17567;100500
1700;5097;1444150;3074100;735847;735839;999200;50361;31369;203900;36129;21678;100500;26639;19653;107300
1700;5097;1444150;3079900;733698;733691;1000400;50322;31366;204200;30873;19849;96200;25949;19952;109600
