n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_timemq_swap;mq_comp;mq_time
1500;1499;1124250;2375000;565310;566802;1098000;14507;27117;231000;10025;17407;126900;9202;16989;108000
1500;1499;1124250;2325800;571300;572790;782600;14503;27074;180300;11719;17528;90800;10271;16328;96500
1600;1599;1279200;2651000;651103;652696;894000;15596;29137;189500;11514;19918;98400;10878;18280;104200
1600;1599;1279200;2669500;633936;635524;871100;15647;29184;190100;9736;18819;93300;9831;17262;101200
1600;1599;1279200;2641400;630824;632417;864800;15647;29201;203500;10425;19836;104800;10104;17460;103100
1600;1599;1279200;2658800;651924;653512;904900;15637;29179;190400;9977;18702;125000;9764;18120;141600
1600;1599;1279200;2672200;638914;640506;895800;15679;29222;203600;10155;18850;106400;10143;17406;119400
1600;1599;1279200;2672700;645126;646715;888600;15673;29227;190600;11276;20230;97000;10953;18016;104500
1600;1599;1279200;2655300;625962;627557;858200;15687;29232;195500;9464;18570;92200;9921;17916;106400
1600;1599;1279200;2656800;646710;648301;893900;15613;29221;189700;10715;18803;93100;9512;17326;105500
1600;1599;1279200;2649200;644344;645937;883200;15665;29249;191300;12710;20447;95500;10791;17433;103100
1600;1599;1279200;2642900;652995;654590;911200;15626;29154;202200;11324;22200;94400;9863;17975;113400
1700;1699;1444150;2989100;724893;726586;993300;16754;31308;205300;11899;20334;98000;11488;19393;110900
1700;1699;1444150;2999300;732649;734344;1005400;16776;31360;216900;12371;21501;102300;10638;18848;108200
1700;1699;1444150;2997000;732616;734310;1003900;16747;31277;204000;10884;20471;98500;11162;18552;111300
1700;1699;1444150;3011100;729939;731635;1023000;16778;31335;204100;11052;19875;98300;11029;18733;110300
1700;1699;1444150;2992800;712760;714453;977200;16777;31308;205000;11327;19052;107300;10485;18492;120600
1700;1699;1444150;3292200;733306;734994;1542700;16757;31333;307600;11524;19255;140100;11752;19058;143000
1700;1699;1444150;3233300;723112;724798;1220900;16833;31374;293400;11726;22370;146900;12989;19958;155200
1700;1699;1444150;3292500;739722;741418;1539700;16775;31306;294500;11776;20757;142000;10647;19509;141300
1700;1699;1444150;3168300;721880;723573;1476500;16759;31354;202700;10978;19323;101100;11422;18898;110900
1700;1699;1444150;4847200;721027;722719;1682100;16804;31340;292800;11773;20646;147100;10873;18698;155000
1800;1799;1619100;3531900;830869;832660;1916600;17876;33447;313700;10981;20850;139600;10756;19595;164800
1800;1799;1619100;3402300;812383;814176;1562400;17886;33421;318300;11359;21058;153100;12986;20230;162500
1800;1799;1619100;3524600;805377;807169;1825400;17928;33468;232700;14025;25824;105100;12217;20095;117300
1800;1799;1619100;3458300;806742;808539;1134900;17915;33462;232400;10662;21165;115600;11993;21248;115600
1800;1799;1619100;3377300;825395;827185;1136100;17836;33387;217100;10816;19746;104900;11254;19419;119300
1800;1799;1619100;3410400;805899;807693;1315600;17908;33454;219100;12188;23222;105600;12887;21886;121600
1800;1799;1619100;3384700;812958;814752;1131200;17907;33451;230900;11977;21238;116900;11382;20100;127900
1800;1799;1619100;3452900;801900;803692;1123900;17909;33434;246400;12384;22508;116500;12447;20066;131000
1800;1799;1619100;3465000;816201;817995;1749400;17900;33405;235400;12956;22168;117900;12706;20948;136500
1800;1799;1619100;3362300;794261;796049;1121700;17950;33502;232100;12512;20682;106200;10842;20739;119000
1900;1899;1804050;3877200;895653;897549;1229800;19048;35574;233000;12887;23160;134300;12953;21233;127500
1900;1899;1804050;4011400;904087;905979;1859600;19042;35605;302900;12210;22264;148400;12251;21580;170600
1900;1899;1804050;3945200;900052;901943;1253100;19013;35523;233300;14706;22880;117800;11602;22038;136700
1900;1899;1804050;3811100;894458;896350;1236500;18991;35518;232100;13207;23230;111800;11860;23180;127500
1900;1899;1804050;3859400;882570;884458;1464600;19027;35599;357000;12027;22453;159800;12399;21289;173500
1900;1899;1804050;4000800;907046;908941;1402800;18999;35522;283600;11228;22156;124400;12546;21788;141100
1900;1899;1804050;3894800;895559;897452;1807600;19056;35605;329900;12651;22693;146500;11682;21613;166900
1900;1899;1804050;3979000;923481;925372;1280600;18984;35549;246100;12490;22016;132700;12286;20983;138400
1900;1899;1804050;3778500;905459;907343;1267300;19054;35630;378300;13710;25347;146000;12527;21909;166100
1900;1899;1804050;3960800;918013;919906;1269100;19042;35596;246700;11875;22237;123900;11643;21199;147200
2000;1999;1999000;4274500;1022392;1024384;1999500;20129;37666;303200;16595;26725;159000;13519;22280;183000
2000;1999;1999000;4198000;1026531;1028523;1433800;20148;37695;262100;14059;25273;120100;12653;22233;134100
